ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
61,SAN_BORJA,20150103,170000,-77.0077,-12.1086,128,,16.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
62,SAN_BORJA,20150103,180000,-77.0077,-12.1086,128,,13.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
63,SAN_BORJA,20150103,190000,-77.0077,-12.1086,128,,8.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
64,SAN_BORJA,20150103,200000,-77.0077,-12.1086,128,,7.4,,LIMA,LIMA,SAN_BORJA,150130,20240430
65,SAN_BORJA,20150103,210000,-77.0077,-12.1086,128,,9.5,,LIMA,LIMA,SAN_BORJA,150130,20240430
66,SAN_BORJA,20150103,220000,-77.0077,-12.1086,128,,9.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
67,SAN_BORJA,20150103,230000,-77.0077,-12.1086,128,,11.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
68,SAN_BORJA,20150104,000000,-77.0077,-12.1086,128,,12.1,,LIMA,LIMA,SAN_BORJA,150130,20240430
69,SAN_BORJA,20150104,010000,-77.0077,-12.1086,128,,12.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
70,SAN_BORJA,20150104,020000,-77.0077,-12.1086,128,,16.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
71,SAN_BORJA,20150104,030000,-77.0077,-12.1086,128,,18.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
72,SAN_BORJA,20150104,040000,-77.0077,-12.1086,128,,17.7,,LIMA,LIMA,SAN_BORJA,150130,20240430
73,SAN_BORJA,20150104,050000,-77.0077,-12.1086,128,,18.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
74,SAN_BORJA,20150104,060000,-77.0077,-12.1086,128,,16,,LIMA,LIMA,SAN_BORJA,150130,20240430
75,SAN_BORJA,20150104,070000,-77.0077,-12.1086,128,,16.6,,LIMA,LIMA,SAN_BORJA,150130,20240430
76,SAN_BORJA,20150104,080000,-77.0077,-12.1086,128,,21,,LIMA,LIMA,SAN_BORJA,150130,20240430
77,SAN_BORJA,20150104,090000,-77.0077,-12.1086,128,,17.1,,LIMA,LIMA,SAN_BORJA,150130,20240430
78,SAN_BORJA,20150104,100000,-77.0077,-12.1086,128,,17.8,,LIMA,LIMA,SAN_BORJA,150130,20240430
79,SAN_BORJA,20150104,110000,-77.0077,-12.1086,128,,11.8,,LIMA,LIMA,SAN_BORJA,150130,20240430
80,SAN_BORJA,20150104,120000,-77.0077,-12.1086,128,,7.6,,LIMA,LIMA,SAN_BORJA,150130,20240430
81,SAN_BORJA,20150104,130000,-77.0077,-12.1086,128,,11.5,,LIMA,LIMA,SAN_BORJA,150130,20240430
82,SAN_BORJA,20150104,140000,-77.0077,-12.1086,128,,24.1,,LIMA,LIMA,SAN_BORJA,150130,20240430
83,SAN_BORJA,20150104,150000,-77.0077,-12.1086,128,,23.7,,LIMA,LIMA,SAN_BORJA,150130,20240430
84,SAN_BORJA,20150104,160000,-77.0077,-12.1086,128,,10,,LIMA,LIMA,SAN_BORJA,150130,20240430
85,SAN_BORJA,20150104,170000,-77.0077,-12.1086,128,,11.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
86,SAN_BORJA,20150104,180000,-77.0077,-12.1086,128,,5.9,,LIMA,LIMA,SAN_BORJA,150130,20240430
87,SAN_BORJA,20150104,190000,-77.0077,-12.1086,128,,12.7,,LIMA,LIMA,SAN_BORJA,150130,20240430
88,SAN_BORJA,20150104,200000,-77.0077,-12.1086,128,,13.7,,LIMA,LIMA,SAN_BORJA,150130,20240430
89,SAN_BORJA,20150104,210000,-77.0077,-12.1086,128,,10.5,,LIMA,LIMA,SAN_BORJA,150130,20240430
90,SAN_BORJA,20150104,220000,-77.0077,-12.1086,128,,8,,LIMA,LIMA,SAN_BORJA,150130,20240430
91,SAN_BORJA,20150104,230000,-77.0077,-12.1086,128,,11,,LIMA,LIMA,SAN_BORJA,150130,20240430
92,SAN_BORJA,20150105,000000,-77.0077,-12.1086,128,,7.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
93,SAN_BORJA,20150105,010000,-77.0077,-12.1086,128,,13.4,,LIMA,LIMA,SAN_BORJA,150130,20240430
94,SAN_BORJA,20150105,020000,-77.0077,-12.1086,128,,12.7,,LIMA,LIMA,SAN_BORJA,150130,20240430
95,SAN_BORJA,20150105,030000,-77.0077,-12.1086,128,,12.6,,LIMA,LIMA,SAN_BORJA,150130,20240430
96,SAN_BORJA,20150105,040000,-77.0077,-12.1086,128,,12.6,,LIMA,LIMA,SAN_BORJA,150130,20240430
97,SAN_BORJA,20150105,050000,-77.0077,-12.1086,128,,13.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
98,SAN_BORJA,20150105,060000,-77.0077,-12.1086,128,,7,,LIMA,LIMA,SAN_BORJA,150130,20240430
99,SAN_BORJA,20150105,070000,-77.0077,-12.1086,128,,6.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
100,SAN_BORJA,20150105,080000,-77.0077,-12.1086,128,,3.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
101,SAN_BORJA,20150105,090000,-77.0077,-12.1086,128,,7.7,,LIMA,LIMA,SAN_BORJA,150130,20240430
102,SAN_BORJA,20150105,100000,-77.0077,-12.1086,128,,9,,LIMA,LIMA,SAN_BORJA,150130,20240430
103,SAN_BORJA,20150105,110000,-77.0077,-12.1086,128,,12,,LIMA,LIMA,SAN_BORJA,150130,20240430
104,SAN_BORJA,20150105,120000,-77.0077,-12.1086,128,,8,,LIMA,LIMA,SAN_BORJA,150130,20240430
105,SAN_BORJA,20150105,130000,-77.0077,-12.1086,128,,16.7,,LIMA,LIMA,SAN_BORJA,150130,20240430
106,SAN_BORJA,20150105,140000,-77.0077,-12.1086,128,,24,,LIMA,LIMA,SAN_BORJA,150130,20240430
107,SAN_BORJA,20150105,150000,-77.0077,-12.1086,128,,27.5,,LIMA,LIMA,SAN_BORJA,150130,20240430
108,SAN_BORJA,20150105,160000,-77.0077,-12.1086,128,,16.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
109,SAN_BORJA,20150105,170000,-77.0077,-12.1086,128,,12.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
110,SAN_BORJA,20150105,180000,-77.0077,-12.1086,128,,13.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
111,SAN_BORJA,20150105,190000,-77.0077,-12.1086,128,,9.1,,LIMA,LIMA,SAN_BORJA,150130,20240430
112,SAN_BORJA,20150105,200000,-77.0077,-12.1086,128,,11.1,,LIMA,LIMA,SAN_BORJA,150130,20240430
113,SAN_BORJA,20150105,210000,-77.0077,-12.1086,128,,10.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
114,SAN_BORJA,20150105,220000,-77.0077,-12.1086,128,,,,LIMA,LIMA,SAN_BORJA,150130,20240430
115,SAN_BORJA,20150105,230000,-77.0077,-12.1086,128,,8,,LIMA,LIMA,SAN_BORJA,150130,20240430
116,SAN_BORJA,20150106,000000,-77.0077,-12.1086,128,,22.1,,LIMA,LIMA,SAN_BORJA,150130,20240430
